Age,Weight (kg),Height (m),Frecuencia_Max_BPM,Promedio_BPM,BPM_Reposo,duracion_sesion_horas,calorias_quemadas,Fat_Percentage,Ingesta_Agua (litros),Workout_Frequency (days/week),Experience_Level,IMC,intensidad_sesion,duracion_minutos,Gender_Male,categoria_ejercicio_HIIT,categoria_ejercicio_Strength,categoria_ejercicio_Yoga,intensidad_ejercicio,eficiencia_metabolica,tipo_usuario,intensidad_num,Age_z,Age_mm,Weight (kg)_z,Weight (kg)_mm,Height (m)_z,Height (m)_mm,IMC_z,IMC_mm,duracion_minutos_z,duracion_minutos_mm,calorias_quemadas_z,calorias_quemadas_mm,eficiencia_metabolica_z,eficiencia_metabolica_mm,Promedio_BPM_z,Promedio_BPM_mm,BPM_Reposo_z,BPM_Reposo_mm,Ingesta_Agua (litros)_z,Ingesta_Agua (litros)_mm,age_group
56,88.3,1.71,180,157,60,1.69,1313.0,12.6,3.5,4,3,30.2,Larga,101.4,True,False,False,True,Alta,0.4287654949906606,Senior,2,1.4223425629434223,0.9268292682926832,0.6814925009182591,0.5372636262513903,-0.0985447095312317,0.4199999999999999,0.8039484416244973,0.5298930144745122,1.2645982622543073,0.7933333333333333,1.5104324480617446,0.7547619047619049,-0.5944500041759051,0.2354307233660251,0.9229704393447844,0.7551020408163267,-0.3035548836794756,0.4166666666666669,1.4559668595810231,0.9090909090909092,45-59
46,74.9,1.53,179,151,66,1.3,883.0,33.9,2.1,4,2,32.0,Media,78.0,False,True,False,False,Moderada,0.3537660256410256,Adulto_Regular,1,0.6009648469104533,0.6829268292682928,0.049315633439625,0.3882091212458287,-1.5086035679707506,0.06,1.077000772238587,0.5865324103209566,0.1270983154042301,0.5333333333333333,-0.0814328572116104,0.4134920634920634,-1.1159244368523211,0.1403435017607044,0.5044940938263893,0.6326530612244898,0.5157485887758075,0.666666666666667,-0.8778976451509954,0.2727272727272728,45-59
32,68.1,1.66,167,122,54,1.11,677.0,33.4,2.3,4,2,24.71,Media,66.60000000000001,False,False,False,False,Moderada,0.4113785983474368,Adulto_Regular,1,-0.5489639555357039,0.3414634146341463,-0.2714905381166974,0.3125695216907673,-0.4902277257644319,0.3199999999999998,-0.0288611667484755,0.3571428571428571,-0.4270683253688841,0.4066666666666667,-0.8440473988076829,0.25,-0.7153418203667722,0.2133869448102628,-1.518141576179187,0.0408163265306122,-1.1228583561347587,0.1666666666666669,-0.5444884301892788,0.3636363636363636,30-44
25,53.2,1.7,190,164,56,0.59,532.0,28.8,2.1,3,1,18.41,Media,35.4,True,False,True,False,Moderada,0.8163089944362099,Adulto_Regular,1,-1.1239283567587823,0.1707317073170731,-0.9744334728504024,0.1468298109010011,-0.1768813127778717,0.3999999999999999,-0.984544323897789,0.1589049716803021,-1.943734921168988,0.0599999999999999,-1.3808391877952095,0.1349206349206349,2.100156081217476,0.7267733279608631,1.4111928424495788,0.8979591836734695,-0.8497571986496644,0.25,-0.8778976451509954,0.2727272727272728,18-29
38,46.1,1.79,188,158,68,0.64,556.0,29.2,2.8,3,1,14.39,Media,38.4,True,False,True,False,Moderada,1.006196432707899,Adulto_Regular,1,-0.0561373259159222,0.4878048780487805,-1.3093928578577387,0.0678531701890989,0.5281481164418886,0.5800000000000001,-1.594361195602589,0.0324103209565765,-1.7979015946497472,0.0933333333333333,-1.2919908916869292,0.1539682539682539,3.4204513446877503,0.96751995029806,0.9927164969311836,0.7755102040816326,0.788849746260902,0.75,0.2890346072150136,0.5909090909090909,30-44
56,58.0,1.68,168,156,74,1.59,1116.0,15.5,2.7,5,3,20.55,Larga,95.4,False,True,False,False,Alta,0.5692512509755313,Senior,2,1.4223425629434223,0.9268292682926832,-0.7479820576341754,0.2002224694104559,-0.3335545192711518,0.3599999999999999,-0.6599154419454825,0.2262429200755192,0.9729316092158266,0.7266666666666667,0.7811360175062774,0.5984126984126984,0.3823533057222392,0.4135439864005908,0.8532243817583852,0.7346938775510203,1.608153218716185,1.0,0.1223299997341557,0.5454545454545455,45-59
36,70.3,1.72,174,169,73,1.49,1385.0,21.3,2.3,3,2,23.76,Media,89.4,True,False,False,False,Alta,0.6520273578439125,Adulto_Regular,2,-0.2204128691225161,0.4390243902439024,-0.1677003061425931,0.3370411568409343,-0.0202081062845916,0.4399999999999999,-0.1729721190170227,0.3272498426683449,0.6812649561773451,0.66,1.7769773363865855,0.811904761904762,0.9578990228141906,0.5184907291665485,1.7599231303815748,1.0,1.471602639973638,0.9583333333333336,-0.5444884301892788,0.3636363636363636,30-44
40,69.7,1.51,189,141,64,1.27,895.0,30.6,1.9,3,2,30.57,Media,76.2,False,False,False,False,Alta,0.3842135042246313,Adulto_Regular,2,0.1081382172906716,0.5365853658536586,-0.1960067330446212,0.3303670745272524,-1.6652767744640309,0.02,0.8600758651396159,0.5415355569540592,0.0395983194926858,0.5133333333333333,-0.0370087091574702,0.423015873015873,-0.9042218507074185,0.1789459901317326,-0.1929664820376025,0.4285714285714288,0.2426474312907132,0.5833333333333335,-1.2113068601127126,0.1818181818181817,30-44
28,121.7,1.94,185,127,52,1.03,719.0,28.9,2.6,4,2,32.34,Media,61.8,True,False,True,False,Moderada,0.3597496662683902,Adulto_Regular,1,-0.8775150419488915,0.2439024390243903,2.2572169317978408,0.9087875417130143,1.7031971651414874,0.8799999999999999,1.1285773235768044,0.5972309628697294,-0.6604016477996695,0.3533333333333334,-0.6885628806181924,0.2833333333333333,-1.0743199344664698,0.1479297922674863,-1.1694112882471912,0.1428571428571432,-1.3959595136198533,0.0833333333333334,-0.0443746077467029,0.5000000000000001,18-29
28,101.8,1.84,169,136,64,1.08,808.0,29.7,2.7,3,1,30.07,Media,64.80000000000001,True,False,False,False,Moderada,0.4146702960581687,Adulto_Regular,1,-0.8775150419488915,0.2439024390243903,1.3183871062138983,0.6874304783092324,0.9198311326750888,0.6800000000000002,0.784227995524591,0.525802391441158,-0.5145683212804284,0.3866666666666668,-0.3590837825499863,0.353968253968254,-0.6924545091480221,0.2175602862004392,-0.5416967699695985,0.3265306122448983,0.2426474312907132,0.5833333333333335,0.1223299997341557,0.5454545454545455,18-29
41,120.8,1.67,188,146,54,0.82,593.0,20.5,3.0,2,1,43.31,Media,49.2,True,True,False,False,Moderada,0.2782924388929874,Adulto_Regular,1,0.1902759888939685,0.5609756097560976,2.2147572914447977,0.8987764182424915,-0.4118911225177918,0.3399999999999998,2.79267958293045,0.9424166142227816,-1.272901619180481,0.2133333333333332,-1.155016435186664,0.1833333333333333,-1.640695427537725,0.0446551758206486,0.1557638058943934,0.5306122448979593,-1.1228583561347587,0.1666666666666669,0.6224438221767309,0.6818181818181818,30-44
53,51.7,1.7,175,152,72,1.15,865.0,23.6,3.5,3,2,17.89,Media,69.0,True,True,False,False,Moderada,0.700739624597986,Senior,1,1.1759292481335315,0.853658536585366,-1.0451995401054734,0.1301446051167963,-0.1768813127778717,0.3999999999999999,-1.0634261082974148,0.1425424795468848,-0.3104016641534919,0.4333333333333333,-0.1480690792928206,0.3992063492063492,1.2965974414862202,0.5802500208509852,0.5742401514127885,0.6530612244897962,1.3350520612310908,0.916666666666667,1.4559668595810231,0.9090909090909092,45-59
57,112.5,1.61,195,165,61,1.24,1013.0,22.1,2.7,3,2,43.4,Media,74.4,True,False,False,False,Alta,0.3137233040979139,Senior,2,1.5044803345467197,0.951219512195122,1.823185052633405,0.8064516129032258,-0.8819107419976303,0.2200000000000002,2.8063321994611536,0.9452485840151036,-0.0479016764188584,0.4933333333333334,0.3998287467082411,0.5166666666666667,-1.394343146752374,0.0895757940680027,1.480938900035978,0.9183673469387754,-0.1670043049369284,0.4583333333333335,0.1223299997341557,0.5454545454545455,45-59
41,94.5,2.0,179,136,69,1.18,794.0,27.6,3.7,3,1,23.62,Media,70.8,True,True,False,False,Moderada,0.4747963279228079,Adulto_Regular,1,0.1902759888939685,0.5609756097560976,0.9739922455725528,0.6062291434927696,2.1732167846213275,1.0,-0.1942095225092297,0.3228445563247326,-0.2229016682419476,0.4533333333333332,-0.4109119552798164,0.3428571428571428,-0.2743957064979814,0.2937903897696898,-0.5416967699695985,0.3265306122448983,0.9254003250034492,0.791666666666667,1.7893760745427407,1.0,30-44
20,117.7,1.81,196,161,54,1.35,1195.0,26.4,3.3,3,2,35.93,Media,81.0,True,False,False,True,Alta,0.4106063573546643,Joven_Activo,2,-1.534617214775267,0.048780487804878,2.068507419117652,0.8642936596218018,0.6848213229351687,0.6200000000000001,1.6731650274126824,0.71019509125236,0.2729316419234708,0.5666666666666667,1.0735949921960333,0.6611111111111111,-0.7207112441385349,0.2124078678774628,1.2019546696903811,0.8367346938775513,-1.1228583561347587,0.1666666666666669,1.1225576446193062,0.818181818181818,18-29
39,42.5,1.75,181,131,52,1.13,740.0,26.2,2.1,2,1,13.88,Media,67.8,False,False,True,False,Moderada,0.7863439681041885,Adulto_Regular,1,0.0260004456873747,0.5121951219512195,-1.4792314192699092,0.0278086763070077,0.2148017034553284,0.5,-1.6717260226099142,0.0163624921334172,-0.3687349947611884,0.4199999999999999,-0.6108206215234471,0.3,1.891808005662716,0.6887825111730901,-0.8904270579015944,0.2244897959183673,-1.3959595136198533,0.0833333333333334,-0.8778976451509954,0.2727272727272728,30-44
19,64.0,1.53,166,167,58,1.33,1111.0,29.8,2.3,3,2,27.34,Media,79.80000000000001,False,True,False,False,Alta,0.5092284478570236,Joven_Activo,2,-1.616754986378564,0.024390243902439,-0.4649177886138912,0.2669632925472747,-1.5086035679707506,0.06,0.3700986274265551,0.4398993077407174,0.2145983113157751,0.5533333333333335,0.7626259558170523,0.5944444444444444,-0.0349877431584536,0.3374447602194679,1.6204310152087764,0.9591836734693876,-0.57665604116457,0.3333333333333335,-0.5444884301892788,0.3636363636363636,18-29
41,43.8,1.77,182,165,58,1.19,884.0,31.9,1.6,3,1,13.98,Media,71.39999999999999,False,False,False,False,Moderada,0.8856189113699845,Adulto_Regular,1,0.1902759888939685,0.5609756097560976,-1.4179008276488478,0.0422691879866517,0.3714749099486085,0.54,-1.656556448686909,0.0195091252359975,-0.1937350029380998,0.4599999999999998,-0.0777308448737653,0.4142857142857142,2.582070819085759,0.8146471154433378,1.480938900035978,0.9183673469387754,-0.57665604116457,0.3333333333333335,-1.7114206825552878,0.0454545454545455,30-44
47,66.8,1.75,199,146,56,1.13,742.0,32.8,2.5,3,2,21.81,Media,67.8,False,False,True,False,Moderada,0.5017860065272757,Adulto_Regular,1,0.6831026185137502,0.7073170731707319,-0.3328211297377588,0.2981090100111233,0.2148017034553284,0.5,-0.4687788105156201,0.2658904971680302,-0.3687349947611884,0.4199999999999999,-0.6034165968477571,0.3015873015873016,-0.0867353475590265,0.3280089458844725,0.1557638058943934,0.5306122448979593,-0.8497571986496644,0.25,-0.2110792152275615,0.4545454545454545,45-59
55,75.2,1.67,188,167,51,1.37,1030.0,25.2,2.2,2,1,26.96,Media,82.2,False,True,False,False,Alta,0.4647779534608358,Senior,2,1.3402047913401256,0.902439024390244,0.0634688468906391,0.3915461624026696,-0.4118911225177918,0.3399999999999998,0.3124542465191363,0.4279421019509125,0.3312649725311672,0.5800000000000001,0.4627629564516063,0.5301587301587302,-0.3440538812050829,0.2810887079997872,1.6204310152087764,0.9591836734693876,-1.5325100923624004,0.0416666666666669,-0.7111930376701368,0.3181818181818182,45-59
19,89.0,1.77,175,127,72,1.5,1048.0,28.9,3.7,4,2,28.41,Media,90.0,True,False,True,False,Alta,0.4098713285619304,Joven_Activo,2,-1.616754986378564,0.024390243902439,0.7145166656372924,0.5450500556173525,0.3714749099486085,0.54,0.5324130684027084,0.4735682819383259,0.710431621481193,0.6666666666666666,0.5293991785328166,0.5444444444444445,-0.7258219299342549,0.2114759700079571,-1.1694112882471912,0.1428571428571432,1.3350520612310908,0.916666666666667,1.7893760745427407,1.0,18-29
38,71.9,1.77,197,142,72,1.12,875.0,25.7,3.1,2,1,22.95,Media,67.2,True,False,False,False,Moderada,0.567356572258533,Adulto_Regular,1,-0.0561373259159222,0.4878048780487805,-0.0922165010705169,0.3548387096774194,0.3714749099486085,0.54,-0.2958456677933633,0.3017621145374449,-0.3979016600650362,0.4133333333333333,-0.1110489559143704,0.4071428571428571,0.3691795257259466,0.4111418396041352,-0.1232204244512033,0.4489795918367347,1.3350520612310908,0.916666666666667,0.7891484296575896,0.7272727272727274,30-44
50,71.0,1.68,187,161,70,1.17,848.0,33.1,2.5,2,1,25.16,Media,70.19999999999999,False,False,False,True,Moderada,0.4801181271769508,Senior,1,0.929515933323641,0.7804878048780488,-0.1346761414235598,0.3448275862068964,-0.3335545192711518,0.3599999999999999,0.0394019159050467,0.3713027061044682,-0.2520683335457963,0.4466666666666665,-0.2110032890361858,0.3857142857142858,-0.2373930147331303,0.3005375722418572,1.2019546696903811,0.8367346938775513,1.0619509037459964,0.8333333333333335,-0.2110792152275615,0.4545454545454545,45-59
29,120.9,1.78,197,168,65,0.78,721.0,28.1,3.4,2,1,38.16,Media,46.8,True,False,False,True,Moderada,0.4037207260477701,Adulto_Regular,1,-0.7953772703455947,0.2682926829268293,2.2194750292618037,0.8998887652947718,0.4498115131952486,0.56,2.0114465258956926,0.7803650094398993,-1.389568280395873,0.1866666666666666,-0.6811588559425023,0.2849206349206349,-0.7685873252697555,0.2036779987777374,1.6901770727951757,0.979591836734694,0.3791980100332603,0.625,1.2892622521001649,0.8636363636363636,18-29
39,64.3,1.69,190,148,58,1.25,925.0,26.9,1.9,4,2,22.51,Media,75.0,False,True,False,False,Alta,0.5479046349770472,Adulto_Regular,2,0.0260004456873747,0.5121951219512195,-0.4507645751628772,0.2703003337041155,-0.2552179160245117,0.3799999999999999,-0.3625917930545849,0.2879169288860919,-0.0187350111150105,0.5,0.07405166097788,0.4468253968253968,0.233929396007937,0.3864799228335676,0.2952559210671918,0.5714285714285716,-0.57665604116457,0.3333333333333335,-1.2113068601127126,0.1818181818181817,30-44
42,63.7,1.71,173,169,62,1.42,1080.0,26.1,1.8,3,2,21.78,Media,85.19999999999999,False,False,False,True,Alta,0.5820044232336166,Adulto_Regular,2,0.2724137604972655,0.5853658536585367,-0.4790710020649054,0.2636262513904338,-0.0985447095312317,0.4199999999999999,-0.4733296826925212,0.2649465072372561,0.4770982990504073,0.6133333333333332,0.6478635733438569,0.5698412698412698,0.4710266433575539,0.4297129503571509,1.7599231303815748,1.0,-0.0304537261943812,0.5,-1.378011467593571,0.1363636363636363,30-44
44,65.2,1.8,192,139,68,0.73,502.0,27.2,2.7,2,1,20.12,Media,43.8,True,True,False,False,Moderada,0.5696415116606298,Adulto_Regular,1,0.4366893037038594,0.6341463414634148,-0.4083049348098343,0.2803114571746384,0.6064847196885287,0.6000000000000001,-0.7251446098144039,0.2127123977344242,-1.535401606915114,0.1533333333333332,-1.4918995579305598,0.1111111111111111,0.3850668045125963,0.4140387739580176,-0.3324585972104009,0.3877551020408165,0.788849746260902,0.75,0.1223299997341557,0.5454545454545455,30-44
59,53.9,1.75,168,135,69,1.48,989.0,21.6,2.8,4,2,17.6,Media,88.8,True,False,True,False,Alta,0.6328061015561015,Senior,2,1.6687558777533134,1.0,-0.9414093081313696,0.1546162402669632,0.2148017034553284,0.5,-1.107417872674129,0.1334172435494021,0.6520982908734966,0.6533333333333333,0.3109804505999608,0.4976190476190476,0.8242528276486374,0.4941212786621544,-0.6114428275559977,0.3061224489795919,0.9254003250034492,0.791666666666667,0.2890346072150136,0.5909090909090909,45-59
45,84.9,1.86,186,136,66,1.64,1104.0,14.2,3.5,5,3,24.54,Larga,98.4,True,True,False,False,Alta,0.4571928359870396,Adulto_Regular,2,0.5188270753071563,0.6585365853658538,0.5210894151400985,0.4994438264738597,1.0765043391683689,0.7200000000000002,-0.0546494424175842,0.3517935808684707,1.1187649357350666,0.7599999999999999,0.7367118694521372,0.5888888888888889,-0.3967935187749465,0.2714720033432395,-0.5416967699695985,0.3265306122448983,0.5157485887758075,0.666666666666667,1.4559668595810231,0.9090909090909092,45-59
33,78.0,1.68,183,135,55,1.29,871.0,32.3,1.8,3,2,27.64,Media,77.4,False,True,False,False,Moderada,0.4071356720029018,Adulto_Regular,1,-0.4668261839324069,0.3658536585365854,0.1955655057667715,0.4226918798665182,-0.3335545192711518,0.3599999999999999,0.4156073491955701,0.4493392070484581,0.0979316501003822,0.5266666666666667,-0.1258570052657505,0.403968253968254,-0.7448430638767701,0.2080075990485342,-0.6114428275559977,0.3061224489795919,-0.9863077773922116,0.2083333333333334,-1.378011467593571,0.1363636363636363,30-44
32,108.2,1.8,172,138,53,1.27,964.0,28.4,3.5,3,1,33.4,Media,76.2,True,True,False,False,Alta,0.3787700190170839,Adulto_Regular,2,-0.5489639555357039,0.3414634146341463,1.6203223265022015,0.7586206896551724,0.6064847196885287,0.6000000000000001,1.2893748071606563,0.6305852737570798,0.0395983194926858,0.5133333333333333,0.2184301421538355,0.4777777777777777,-0.9420706299721752,0.17204452951176,-0.4022046547968001,0.3673469387755101,-1.259408934877306,0.125,1.4559668595810231,0.9090909090909092,30-44
20,65.4,1.52,185,127,50,1.03,654.0,28.0,2.2,4,2,28.31,Media,61.8,False,False,False,True,Moderada,0.3738086991114327,Adulto_Regular,1,-1.534617214775267,0.048780487804878,-0.3988694591758247,0.282536151279199,-1.5869401712173907,0.04,0.5172434944797032,0.4704216488357457,-0.6604016477996695,0.3533333333333334,-0.929193682578118,0.2317460317460318,-0.976566893819918,0.1657543766691541,-1.1694112882471912,0.1428571428571432,-1.6690606711049476,0.0,-0.7111930376701368,0.3181818181818182,18-29
54,50.2,1.61,188,157,67,1.48,1046.0,28.2,2.7,2,1,19.37,Media,88.8,False,True,False,False,Alta,0.6081197356365141,Senior,2,1.2580670197368289,0.878048780487805,-1.1159656073605446,0.1134593993325917,-0.8819107419976303,0.2200000000000002,-0.8389164142369412,0.1891126494650724,0.6520982908734966,0.6533333333333333,0.5219951538571265,0.5428571428571429,0.6526074976964208,0.462822951258225,0.9229704393447844,0.7551020408163267,0.6522991675183548,0.7083333333333335,0.1223299997341557,0.5454545454545455,45-59
24,58.9,1.51,187,157,68,1.04,816.0,31.7,2.5,2,1,25.83,Media,62.400000000000006,False,False,False,False,Moderada,0.5062687989517257,Adulto_Regular,1,-1.2060661283620793,0.1463414634146342,-0.7055224172811329,0.2102335928809787,-1.6652767744640309,0.02,0.1410380611891797,0.3923851478917557,-0.6312349824958212,0.3600000000000001,-0.3294676838472262,0.3603174603174603,-0.0555663052095609,0.333692403119179,0.9229704393447844,0.7551020408163267,0.788849746260902,0.75,-0.2110792152275615,0.4545454545454545,18-29
38,81.4,1.71,187,148,58,1.52,1237.0,10.2,3.5,5,3,27.84,Larga,91.2,True,True,False,False,Alta,0.4871981498285945,Adulto_Regular,2,-0.0561373259159222,0.4878048780487805,0.3559685915449328,0.4605116796440489,-0.0985447095312317,0.4199999999999999,0.4459464970415799,0.4556324732536186,0.7687649520888894,0.68,1.2290795103855237,0.6944444444444444,-0.1881653224891978,0.3095138981903662,0.2952559210671918,0.5714285714285716,-0.57665604116457,0.3333333333333335,1.4559668595810231,0.9090909090909092,30-44
26,127.6,1.73,167,160,62,1.32,1162.0,27.3,2.9,3,1,42.63,Media,79.2,True,False,True,False,Alta,0.3441641372675855,Joven_Activo,2,-1.0417905851554854,0.1951219512195122,2.53556346300112,0.9744160177975528,0.0581284969620483,0.4599999999999999,2.689526480254016,0.921019509125236,0.1854316460119265,0.5466666666666667,0.951428585047148,0.634920634920635,-1.1826867664472087,0.1281698571267868,1.132208612103982,0.8163265306122449,-0.0304537261943812,0.5,0.4557392146958722,0.6363636363636364,18-29
56,59.3,1.56,182,155,57,1.26,879.0,33.4,2.6,4,2,24.37,Media,75.6,False,False,False,False,Moderada,0.4771023441519954,Senior,1,1.4223425629434223,0.9268292682926832,-0.686651466013114,0.2146829810900999,-1.2735937582308303,0.1200000000000001,-0.0804377180866924,0.3464443045940843,0.0104316541888372,0.5066666666666666,-0.0962409065629904,0.4103174603174603,-0.2583618796551252,0.2967140461383503,0.783478324171986,0.7142857142857144,-0.7132066199071172,0.2916666666666669,-0.0443746077467029,0.5000000000000001,45-59
35,96.9,1.71,188,145,72,1.34,1069.0,24.2,2.9,3,2,33.14,Media,80.4,True,False,True,False,Alta,0.401207601101313,Adulto_Regular,2,-0.302550640725813,0.4146341463414634,1.0872179531806667,0.6329254727474971,-0.0985447095312317,0.4199999999999999,1.2499339149608435,0.6224040276903713,0.243764976619623,0.56,0.6071414376275618,0.5611111111111111,-0.7860611876458904,0.2004917619846261,0.0860177483079942,0.5102040816326534,1.3350520612310908,0.916666666666667,0.4557392146958722,0.6363636363636364,30-44
21,62.6,1.81,164,150,62,1.3,1072.0,27.6,3.5,4,2,19.11,Media,78.0,True,False,True,False,Alta,0.7191831367655543,Joven_Activo,2,-1.45247944317197,0.073170731707317,-0.5309661180519575,0.2513904338153503,0.6848213229351687,0.6200000000000001,-0.8783573064367544,0.1809314033983637,0.1270983154042301,0.5333333333333333,0.6182474746410969,0.5634920634920635,1.424835949405611,0.6036334173451969,0.4347480362399901,0.6122448979591839,-0.0304537261943812,0.5,1.4559668595810231,0.9090909090909092,18-29
